distance,sensor,trial,averageSum,x,y,magnitude,movement
6.5,25/75,8,0.141,9.75,0,9.75,straight
6.5,25/75,9,0.1514,9.75,0,9.75,straight
6.5,25/75,10,0.141,9.6,0,9.6,straight
6.5,50/50,1,0.1532,9.6,0,9.6,straight
6.5,50/50,2,0.1484,9.5,0,9.5,straight
6.5,50/50,3,0.1622,9.5,0,9.5,straight
6.5,50/50,4,0.161,9.5,0,9.5,straight
6.5,50/50,5,0.1474,9.5,0,9.5,straight
6.5,50/50,6,0.1368,9.3,0,9.3,straight
6.5,50/50,7,0.1428,9.5,0,9.5,straight
6.5,50/50,8,0.1562,9.6,0,9.6,straight
6.5,50/50,9,0.1492,10,0,10,straight
6.5,50/50,10,0.1396,9.7,0,9.7,straight
6.5,75/25,1,0.1388,9.4,0,9.4,straight
6.5,75/25,2,0.1396,9.8,0,9.8,straight
6.5,75/25,3,0.15,9.7,0,9.7,straight
6.5,75/25,4,0.1464,9.8,0,9.8,straight
6.5,75/25,5,0.1332,9.8,0,9.8,straight
6.5,75/25,6,0.1504,9.7,0,9.7,straight
6.5,75/25,7,0.1472,9.7,0,9.7,straight
6.5,75/25,8,0.1442,9.7,0,9.7,straight
6.5,75/25,9,0.1538,9.8,0,9.8,straight
6.5,75/25,10,0.1436,9.7,0,9.7,straight
4.5,25/75,1,0.1422,7.8,0,7.8,straight
4.5,25/75,2,0.14,8.5,0,8.5,straight
4.5,25/75,3,0.1502,8,0,8,straight
4.5,25/75,4,0.1464,7.8,0,7.8,straight
4.5,25/75,5,0.1336,8.2,0,8.2,straight
4.5,25/75,6,0.1456,8,0,8,straight
4.5,25/75,7,0.1462,7.6,0,7.6,straight
4.5,25/75,8,0.1498,8,0,8,straight
4.5,25/75,9,0.1522,7.8,0,7.8,straight
4.5,25/75,10,0.1456,8,0,8,straight
4.5,50/50,1,0.1356,8.2,0,8.2,straight
4.5,50/50,2,0.1356,8.1,0,8.1,straight
4.5,50/50,3,0.1322,8,0,8,straight
4.5,50/50,4,0.1362,7.5,0,7.5,straight
4.5,50/50,5,0.148367347,7.4,0,7.4,straight
4.5,50/50,6,0.144693878,7.3,0,7.3,straight
4.5,50/50,7,0.132857143,7.8,0,7.8,straight
4.5,50/50,8,0.15244898,7.8,0,7.8,straight
4.5,50/50,9,0.150612245,8,0,8,straight
4.5,50/50,10,0.151428571,8,0,8,straight
4.5,75/25,1,0.1394,8.1,0,8.1,straight
4.5,75/25,2,0.1436,8,0,8,straight
4.5,75/25,3,0.143,8,0,8,straight
4.5,75/25,4,0.1448,8,0,8,straight
4.5,75/25,5,0.1542,8,0,8,straight
4.5,75/25,6,0.147,7.9,0,7.9,straight
4.5,75/25,7,0.1364,8.1,0,8.1,straight
4.5,75/25,8,0.1452,7.9,0,7.9,straight
4.5,75/25,9,0.1488,7.8,0,7.8,straight
4.5,75/25,10,0.1506,8,0,8,straight
2.5,25/75,1,0.152,6.7,0,6.7,straight
2.5,25/75,2,0.1296,6.9,0,6.9,straight
2.5,25/75,3,0.1518,6.7,0,6.7,straight
2.5,25/75,4,0.1366,6.8,0,6.8,straight
2.5,25/75,5,0.1486,6.5,0,6.5,straight
